portfolio_id,stock_symbol,stock_name,quantity,stock_sector,purchase_price,current_price,YTD_Perf,3YR_Perf,5YR_Perf,total_cost,current_value,percent_of_portfolio
PORT-1001,QQQ,Invesco QQQ Trust,107,Index Funds / ETFs,663.7995,735.6,20.13,115.13,127.76,71026.5465,78709.2,3.05
PORT-1001,PG,The Procter & Gamble Company,121,Consumer Defensive,128.3163,145.91,4.42,10.68,24.71,15526.272300000002,17655.11,0.68
PORT-1001,JPM,JPMorgan Chase & Co.,8,Financial Services,209.496,296.73,-7.95,134.12,102.77,1675.968,2373.84,0.09
PORT-1001,SOFI,"SoFi Technologies, Inc.",96,Financial Services,11.6424,16.97,-38.2,144.52,-25.08,1117.6704,1629.12,0.06
PORT-1001,WMT,Walmart Inc.,27,Consumer Defensive,93.6466,118.9,5.86,150.93,168.39,2528.4582,3210.3,0.12
PORT-1001,UNH,UnitedHealth Group Incorporated,5,Healthcare,345.609,382.53,14.6,-16.72,2.47,1728.0449999999998,1912.6499999999999,0.07
PORT-1001,AAPL,Apple Inc.,22,Technology,282.8735,312.51,15.53,78.78,157.97,6223.217,6875.219999999999,0.27
PORT-1001,BA,The Boeing Company,63,Industrials,163.739,228.78,0.44,11.22,-10.19,10315.557,14413.14,0.56
PORT-1001,PYPL,"PayPal Holdings, Inc.",112,Financial Services,33.6952,44.46,-23.3,-27.9,-82.76,3773.8624,4979.52,0.19
PORT-1001,VOO,Vanguard S&P 500 ETF,81,Index Funds / ETFs,607.1648,693.91,10.79,88.19,93.15,49180.3488,56206.71,2.18
PORT-1001,ABBV,AbbVie Inc.,121,Healthcare,196.014,218.63,-3.09,76.46,135.02,23717.694,26454.23,1.03
PORT-1001,GOOG,Alphabet Inc.,4,Technology,342.4987,386.12,22.54,215.55,220.43,1369.9948,1544.48,0.06
PORT-1001,INTC,Intel Corporation,53,Technology,126.6408,120.89,206.98,292.35,132.21,6711.9624,6407.17,0.25
PORT-1001,WMT,Walmart Inc.,129,Consumer Defensive,87.7196,118.9,5.86,150.93,168.39,11315.8284,15338.1,0.59
PORT-1001,GOOG,Alphabet Inc.,145,Technology,354.0436,386.12,22.54,215.55,220.43,51336.32200000001,55987.4,2.17
PORT-1001,UNH,UnitedHealth Group Incorporated,103,Healthcare,288.0075,382.53,14.6,-16.72,2.47,29664.7725,39400.59,1.53
PORT-1001,AAPL,Apple Inc.,109,Technology,217.595,312.51,15.53,78.78,157.97,23717.855,34063.59,1.32
PORT-1001,KO,The Coca-Cola Company,134,Consumer Defensive,75.0904,80.41,17.13,47.39,68.83,10062.1136,10774.939999999999,0.42
PORT-1001,TSLA,"Tesla, Inc.",100,Consumer Cyclical,317.0592,442.1,0.92,116.79,112.58,31705.92,44210.0,1.71
PORT-1001,PG,The Procter & Gamble Company,133,Consumer Defensive,115.0422,145.91,4.42,10.68,24.71,15300.612599999999,19406.03,0.75
PORT-1001,GE,General Electric Company,84,Industrials,298.1774,320.82,0.17,302.24,365.69,25046.901599999997,26948.88,1.04
PORT-1001,WMT,Walmart Inc.,138,Consumer Defensive,119.7254,118.9,5.86,150.93,168.39,16522.105199999998,16408.2,0.64
PORT-1001,JPM,JPMorgan Chase & Co.,145,Financial Services,311.2512,296.73,-7.95,134.12,102.77,45131.424,43025.850000000006,1.67
PORT-1001,WMT,Walmart Inc.,60,Consumer Defensive,113.7984,118.9,5.86,150.93,168.39,6827.904,7134.0,0.28
PORT-1001,AMZN,"Amazon.com, Inc.",52,Consumer Cyclical,231.0725,274.0,20.97,127.24,70.26,12015.77,14248.0,0.55
PORT-1001,QQQ,Invesco QQQ Trust,112,Index Funds / ETFs,568.971,735.6,20.13,115.13,127.76,63724.752,82387.2,3.19
PORT-1001,AMZN,"Amazon.com, Inc.",125,Consumer Cyclical,212.043,274.0,20.97,127.24,70.26,26505.375,34250.0,1.33
PORT-1001,GE,General Electric Company,125,Industrials,234.7354,320.82,0.17,302.24,365.69,29341.925,40102.5,1.55
PORT-1001,VOO,Vanguard S&P 500 ETF,133,Index Funds / ETFs,689.96,693.91,10.79,88.19,93.15,91764.68000000001,92290.03,3.58
PORT-1001,BA,The Boeing Company,130,Industrials,161.496,228.78,0.44,11.22,-10.19,20994.48,29741.4,1.15
PORT-1001,GE,General Electric Company,52,Industrials,285.489,320.82,0.17,302.24,365.69,14845.427999999998,16682.64,0.65
PORT-1001,INTC,Intel Corporation,53,Technology,108.3753,120.89,206.98,292.35,132.21,5743.890899999999,6407.17,0.25
PORT-1001,PYPL,"PayPal Holdings, Inc.",35,Financial Services,41.572,44.46,-23.3,-27.9,-82.76,1455.02,1556.1000000000001,0.06
PORT-1001,WMT,Walmart Inc.,38,Consumer Defensive,105.5006,118.9,5.86,150.93,168.39,4009.0228,4518.2,0.18
PORT-1001,KO,The Coca-Cola Company,52,Consumer Defensive,86.5172,80.41,17.13,47.39,68.83,4498.8944,4181.32,0.16
PORT-1001,JPM,JPMorgan Chase & Co.,91,Financial Services,218.4744,296.73,-7.95,134.12,102.77,19881.1704,27002.43,1.05
PORT-1001,AMZN,"Amazon.com, Inc.",122,Consumer Cyclical,212.043,274.0,20.97,127.24,70.26,25869.246,33428.0,1.3
PORT-1001,SOFI,"SoFi Technologies, Inc.",129,Financial Services,15.0381,16.97,-38.2,144.52,-25.08,1939.9149,2189.1299999999997,0.08
PORT-1001,XOM,Exxon Mobil Corporation,143,Energy,109.446,146.96,21.44,58.99,192.13,15650.778,21015.280000000002,0.81
PORT-1001,MA,Mastercard Incorporated,57,Financial Services,450.4864,493.75,-12.04,37.67,41.28,25677.7248,28143.75,1.09
PORT-1001,GOOG,Alphabet Inc.,2,Technology,396.3749,386.12,22.54,215.55,220.43,792.7498,772.24,0.03
PORT-1001,INTC,Intel Corporation,37,Technology,131.5116,120.89,206.98,292.35,132.21,4865.9292,4472.93,0.17
PORT-1001,CVS,CVS Health Corporation,3,Healthcare,80.1009,92.97,18.01,53.55,27.78,240.3027,278.90999999999997,0.01
PORT-1001,GOOG,Alphabet Inc.,67,Technology,388.6783,386.12,22.54,215.55,220.43,26041.446099999997,25870.04,1.0
PORT-1001,PLTR,Palantir Technologies Inc.,100,Technology,127.2096,143.34,-14.61,874.44,521.6,12720.96,14334.0,0.56
PORT-1001,GE,General Electric Company,37,Industrials,317.21,320.82,0.17,302.24,365.69,11736.769999999999,11870.34,0.46
PORT-1001,UNH,UnitedHealth Group Incorporated,46,Healthcare,330.2486,382.53,14.6,-16.72,2.47,15191.4356,17596.379999999997,0.68
PORT-1001,MA,Mastercard Incorporated,30,Financial Services,514.8416,493.75,-12.04,37.67,41.28,15445.248,14812.5,0.57
PORT-1001,XOM,Exxon Mobil Corporation,45,Energy,125.715,146.96,21.44,58.99,192.13,5657.175,6613.200000000001,0.26
PORT-1001,INTC,Intel Corporation,67,Technology,101.0691,120.89,206.98,292.35,132.21,6771.6297,8099.63,0.31
PORT-1001,MA,Mastercard Incorporated,47,Financial Services,440.5856,493.75,-12.04,37.67,41.28,20707.5232,23206.25,0.9
PORT-1001,NVDA,NVIDIA Corporation,73,Technology,167.954,214.25,13.46,466.79,1220.61,12260.642,15640.25,0.61
PORT-1001,AAPL,Apple Inc.,147,Technology,270.4395,312.51,15.53,78.78,157.97,39754.6065,45938.97,1.78
PORT-1001,MA,Mastercard Incorporated,123,Financial Services,430.6848,493.75,-12.04,37.67,41.28,52974.2304,60731.25,2.35
PORT-1001,PG,The Procter & Gamble Company,43,Consumer Defensive,115.0422,145.91,4.42,10.68,24.71,4946.8146,6274.13,0.24
PORT-1001,PG,The Procter & Gamble Company,85,Consumer Defensive,156.3394,145.91,4.42,10.68,24.71,13288.849,12402.35,0.48
PORT-1001,ABBV,AbbVie Inc.,73,Healthcare,172.32,218.63,-3.09,76.46,135.02,12579.359999999999,15959.99,0.62
PORT-1001,PG,The Procter & Gamble Company,58,Consumer Defensive,107.6677,145.91,4.42,10.68,24.71,6244.7266,8462.78,0.33
PORT-1001,XOM,Exxon Mobil Corporation,55,Energy,155.295,146.96,21.44,58.99,192.13,8541.224999999999,8082.8,0.31
PORT-1001,KO,The Coca-Cola Company,148,Consumer Defensive,71.8256,80.41,17.13,47.39,68.83,10630.1888,11900.68,0.46
PORT-1001,ABBV,AbbVie Inc.,27,Healthcare,198.168,218.63,-3.09,76.46,135.02,5350.536,5903.01,0.23
PORT-1001,INTC,Intel Corporation,43,Technology,104.7222,120.89,206.98,292.35,132.21,4503.0546,5198.27,0.2
PORT-1002,VOO,Vanguard S&P 500 ETF,113,Index Funds / ETFs,524.3696,693.91,10.79,88.19,93.15,59253.7648,78411.83,2.78
PORT-1002,QQQ,Invesco QQQ Trust,71,Index Funds / ETFs,744.039,735.6,20.13,115.13,127.76,52826.769,52227.6,1.85
PORT-1002,CVS,CVS Health Corporation,17,Healthcare,64.449,92.97,18.01,53.55,27.78,1095.633,1580.49,0.06
PORT-1002,JPM,JPMorgan Chase & Co.,43,Financial Services,212.4888,296.73,-7.95,134.12,102.77,9137.018399999999,12759.390000000001,0.45
PORT-1002,PYPL,"PayPal Holdings, Inc.",28,Financial Services,38.9464,44.46,-23.3,-27.9,-82.76,1090.4992,1244.88,0.04
PORT-1002,AMZN,"Amazon.com, Inc.",104,Consumer Cyclical,266.413,274.0,20.97,127.24,70.26,27706.952,28496.0,1.01
PORT-1002,GOOG,Alphabet Inc.,70,Technology,273.2293,386.12,22.54,215.55,220.43,19126.051000000003,27028.4,0.96
PORT-1002,KO,The Coca-Cola Company,102,Consumer Defensive,72.6418,80.41,17.13,47.39,68.83,7409.4636,8201.82,0.29
PORT-1002,KO,The Coca-Cola Company,116,Consumer Defensive,75.9066,80.41,17.13,47.39,68.83,8805.1656,9327.56,0.33
PORT-1002,INTC,Intel Corporation,135,Technology,92.5452,120.89,206.98,292.35,132.21,12493.601999999999,16320.15,0.58
PORT-1002,UNH,UnitedHealth Group Incorporated,137,Healthcare,403.2105,382.53,14.6,-16.72,2.47,55239.838500000005,52406.60999999999,1.86
PORT-1002,MSFT,Microsoft Corporation,86,Technology,437.4302,426.99,-9.31,33.1,79.84,37618.9972,36721.14,1.3
PORT-1002,JPM,JPMorgan Chase & Co.,84,Financial Services,227.4528,296.73,-7.95,134.12,102.77,19106.0352,24925.32,0.88
PORT-1002,JPM,JPMorgan Chase & Co.,132,Financial Services,302.2728,296.73,-7.95,134.12,102.77,39900.009600000005,39168.36,1.39
PORT-1002,PLTR,Palantir Technologies Inc.,109,Technology,143.1108,143.34,-14.61,874.44,521.6,15599.077200000002,15624.06,0.55
PORT-1002,MSFT,Microsoft Corporation,41,Technology,354.8962,426.99,-9.31,33.1,79.84,14550.744200000001,17506.59,0.62
PORT-1002,KO,The Coca-Cola Company,54,Consumer Defensive,71.8256,80.41,17.13,47.39,68.83,3878.5824,4342.139999999999,0.15
PORT-1002,XOM,Exxon Mobil Corporation,116,Energy,141.984,146.96,21.44,58.99,192.13,16470.144,17047.36,0.6
PORT-1002,UNH,UnitedHealth Group Incorporated,88,Healthcare,322.5684,382.53,14.6,-16.72,2.47,28386.0192,33662.64,1.19
PORT-1002,JPM,JPMorgan Chase & Co.,80,Financial Services,317.2368,296.73,-7.95,134.12,102.77,25378.944000000003,23738.4,0.84
PORT-1002,JPM,JPMorgan Chase & Co.,150,Financial Services,260.3736,296.73,-7.95,134.12,102.77,39056.04,44509.5,1.58
PORT-1002,TSLA,"Tesla, Inc.",27,Consumer Cyclical,484.396,442.1,0.92,116.79,112.58,13078.692000000001,11936.7,0.42
PORT-1002,WMT,Walmart Inc.,24,Consumer Defensive,93.6466,118.9,5.86,150.93,168.39,2247.5184,2853.6000000000004,0.1
PORT-1002,CVS,CVS Health Corporation,103,Healthcare,78.2595,92.97,18.01,53.55,27.78,8060.7285,9575.91,0.34
PORT-1002,PG,The Procter & Gamble Company,130,Consumer Defensive,129.7912,145.91,4.42,10.68,24.71,16872.856,18968.3,0.67
PORT-1002,JPM,JPMorgan Chase & Co.,57,Financial Services,272.3448,296.73,-7.95,134.12,102.77,15523.653600000001,16913.61,0.6
PORT-1002,WMT,Walmart Inc.,148,Consumer Defensive,84.1634,118.9,5.86,150.93,168.39,12456.1832,17597.2,0.62
PORT-1002,CVS,CVS Health Corporation,38,Healthcare,81.0216,92.97,18.01,53.55,27.78,3078.8208000000004,3532.86,0.13
PORT-1002,MSFT,Microsoft Corporation,118,Technology,301.2491,426.99,-9.31,33.1,79.84,35547.3938,50384.82,1.78
PORT-1002,GE,General Electric Company,125,Industrials,295.0053,320.82,0.17,302.24,365.69,36875.6625,40102.5,1.42
PORT-1002,KO,The Coca-Cola Company,127,Consumer Defensive,82.4362,80.41,17.13,47.39,68.83,10469.3974,10212.07,0.36
PORT-1002,INTC,Intel Corporation,145,Technology,113.2461,120.89,206.98,292.35,132.21,16420.6845,17529.05,0.62
PORT-1002,AMZN,"Amazon.com, Inc.",134,Consumer Cyclical,241.9465,274.0,20.97,127.24,70.26,32420.831,36716.0,1.3
PORT-1002,AAPL,Apple Inc.,92,Technology,326.3925,312.51,15.53,78.78,157.97,30028.109999999997,28750.92,1.02
PORT-1002,UNH,UnitedHealth Group Incorporated,112,Healthcare,288.0075,382.53,14.6,-16.72,2.47,32256.84,42843.36,1.52
PORT-1002,UNH,UnitedHealth Group Incorporated,56,Healthcare,414.7308,382.53,14.6,-16.72,2.47,23224.9248,21421.68,0.76
PORT-1002,AAPL,Apple Inc.,50,Technology,230.029,312.51,15.53,78.78,157.97,11501.45,15625.5,0.55
PORT-1002,GOOG,Alphabet Inc.,9,Technology,350.1953,386.12,22.54,215.55,220.43,3151.7576999999997,3475.08,0.12
PORT-1002,MA,Mastercard Incorporated,42,Financial Services,366.3296,493.75,-12.04,37.67,41.28,15385.843200000001,20737.5,0.73
PORT-1002,GE,General Electric Company,5,Industrials,304.5216,320.82,0.17,302.24,365.69,1522.608,1604.1,0.06
PORT-1002,GE,General Electric Company,69,Industrials,291.8332,320.82,0.17,302.24,365.69,20136.4908,22136.579999999998,0.78
PORT-1002,TSLA,"Tesla, Inc.",107,Consumer Cyclical,317.0592,442.1,0.92,116.79,112.58,33925.3344,47304.700000000004,1.68
PORT-1002,GOOG,Alphabet Inc.,121,Technology,373.2851,386.12,22.54,215.55,220.43,45167.4971,46720.520000000004,1.65
PORT-1002,MSFT,Microsoft Corporation,9,Technology,404.4166,426.99,-9.31,33.1,79.84,3639.7494,3842.91,0.14
PORT-1002,AAPL,Apple Inc.,142,Technology,261.114,312.51,15.53,78.78,157.97,37078.187999999995,44376.42,1.57
PORT-1002,JPM,JPMorgan Chase & Co.,16,Financial Services,311.2512,296.73,-7.95,134.12,102.77,4980.0192,4747.68,0.17
PORT-1002,INTC,Intel Corporation,33,Technology,86.4567,120.89,206.98,292.35,132.21,2853.0711,3989.37,0.14
PORT-1002,UNH,UnitedHealth Group Incorporated,121,Healthcare,360.9694,382.53,14.6,-16.72,2.47,43677.2974,46286.13,1.64
PORT-1002,QQQ,Invesco QQQ Trust,38,Index Funds / ETFs,554.382,735.6,20.13,115.13,127.76,21066.516,27952.8,0.99
PORT-1002,QQQ,Invesco QQQ Trust,99,Index Funds / ETFs,765.9225,735.6,20.13,115.13,127.76,75826.3275,72824.40000000001,2.58
PORT-1002,GE,General Electric Company,33,Industrials,323.5542,320.82,0.17,302.24,365.69,10677.2886,10587.06,0.37
PORT-1002,VOO,Vanguard S&P 500 ETF,130,Index Funds / ETFs,579.5664,693.91,10.79,88.19,93.15,75343.63200000001,90208.3,3.19
PORT-1002,INTC,Intel Corporation,10,Technology,98.6337,120.89,206.98,292.35,132.21,986.337,1208.9,0.04
PORT-1002,WMT,Walmart Inc.,1,Consumer Defensive,96.0174,118.9,5.86,150.93,168.39,96.0174,118.9,0.0
PORT-1002,WMT,Walmart Inc.,36,Consumer Defensive,116.1692,118.9,5.86,150.93,168.39,4182.0912,4280.400000000001,0.15
PORT-1002,JPM,JPMorgan Chase & Co.,103,Financial Services,254.388,296.73,-7.95,134.12,102.77,26201.964,30563.190000000002,1.08
PORT-1002,MA,Mastercard Incorporated,47,Financial Services,391.0816,493.75,-12.04,37.67,41.28,18380.835199999998,23206.25,0.82
PORT-1002,WMT,Walmart Inc.,127,Consumer Defensive,117.3546,118.9,5.86,150.93,168.39,14904.0342,15100.300000000001,0.53
PORT-1002,QQQ,Invesco QQQ Trust,39,Index Funds / ETFs,590.8545,735.6,20.13,115.13,127.76,23043.325500000003,28688.4,1.02
PORT-1002,JPM,JPMorgan Chase & Co.,96,Financial Services,329.208,296.73,-7.95,134.12,102.77,31603.968,28486.08,1.01
PORT-1002,PLTR,Palantir Technologies Inc.,142,Technology,106.008,143.34,-14.61,874.44,521.6,15053.135999999999,20354.28,0.72
PORT-1002,PYPL,"PayPal Holdings, Inc.",78,Financial Services,42.8848,44.46,-23.3,-27.9,-82.76,3345.0144,3467.88,0.12
PORT-1002,AAPL,Apple Inc.,12,Technology,289.0905,312.51,15.53,78.78,157.97,3469.0860000000002,3750.12,0.13
PORT-1002,BA,The Boeing Company,117,Industrials,159.253,228.78,0.44,11.22,-10.19,18632.601,26767.26,0.95
PORT-1002,QQQ,Invesco QQQ Trust,137,Index Funds / ETFs,802.395,735.6,20.13,115.13,127.76,109928.11499999999,100777.2,3.57
PORT-1002,PYPL,"PayPal Holdings, Inc.",141,Financial Services,37.6336,44.46,-23.3,-27.9,-82.76,5306.3376,6268.86,0.22
PORT-1002,XOM,Exxon Mobil Corporation,16,Energy,105.009,146.96,21.44,58.99,192.13,1680.144,2351.36,0.08
PORT-1002,NVDA,NVIDIA Corporation,10,Technology,165.828,214.25,13.46,466.79,1220.61,1658.28,2142.5,0.08
PORT-1002,WMT,Walmart Inc.,42,Consumer Defensive,97.2028,118.9,5.86,150.93,168.39,4082.5175999999997,4993.8,0.18
PORT-1002,GOOG,Alphabet Inc.,24,Technology,319.4089,386.12,22.54,215.55,220.43,7665.8136,9266.880000000001,0.33
PORT-1002,JPM,JPMorgan Chase & Co.,22,Financial Services,221.4672,296.73,-7.95,134.12,102.77,4872.2784,6528.06,0.23
PORT-1002,AMZN,"Amazon.com, Inc.",61,Consumer Cyclical,239.228,274.0,20.97,127.24,70.26,14592.908000000001,16714.0,0.59
PORT-1002,AAPL,Apple Inc.,89,Technology,326.3925,312.51,15.53,78.78,157.97,29048.9325,27813.39,0.99
PORT-1002,GOOG,Alphabet Inc.,91,Technology,411.7681,386.12,22.54,215.55,220.43,37470.8971,35136.92,1.24
PORT-1002,AMZN,"Amazon.com, Inc.",136,Consumer Cyclical,263.6945,274.0,20.97,127.24,70.26,35862.452,37264.0,1.32
PORT-1002,PYPL,"PayPal Holdings, Inc.",125,Financial Services,31.5072,44.46,-23.3,-27.9,-82.76,3938.4,5557.5,0.2
PORT-1002,SOFI,"SoFi Technologies, Inc.",88,Financial Services,14.7147,16.97,-38.2,144.52,-25.08,1294.8936,1493.36,0.05
PORT-1002,KO,The Coca-Cola Company,71,Consumer Defensive,64.4798,80.41,17.13,47.39,68.83,4578.065799999999,5709.11,0.2
PORT-1002,NVDA,NVIDIA Corporation,70,Technology,197.718,214.25,13.46,466.79,1220.61,13840.259999999998,14997.5,0.53
PORT-1002,TSLA,"Tesla, Inc.",56,Consumer Cyclical,479.9924,442.1,0.92,116.79,112.58,26879.574399999998,24757.600000000002,0.88
