portfolio_id,stock_symbol,stock_name,quantity,stock_sector,purchase_price
PORT-1002,QQQ,Invesco QQQ Trust,71,Index Funds / ETFs,744.039
PORT-1002,CVS,CVS Health Corporation,17,Healthcare,64.449
PORT-1002,JPM,JPMorgan Chase & Co.,43,Financial Services,212.4888
PORT-1002,PYPL,"PayPal Holdings, Inc.",28,Financial Services,38.9464
PORT-1002,AMZN,"Amazon.com, Inc.",104,Consumer Cyclical,266.413
PORT-1002,GOOG,Alphabet Inc.,70,Technology,273.2293
PORT-1002,KO,The Coca-Cola Company,102,Consumer Defensive,72.6418
PORT-1002,KO,The Coca-Cola Company,116,Consumer Defensive,75.9066
PORT-1002,INTC,Intel Corporation,135,Technology,92.5452
PORT-1002,UNH,UnitedHealth Group Incorporated,137,Healthcare,403.2105
PORT-1002,MSFT,Microsoft Corporation,86,Technology,437.4302
PORT-1002,JPM,JPMorgan Chase & Co.,84,Financial Services,227.4528
PORT-1002,JPM,JPMorgan Chase & Co.,132,Financial Services,302.2728
PORT-1002,PLTR,Palantir Technologies Inc.,109,Technology,143.1108
PORT-1002,MSFT,Microsoft Corporation,41,Technology,354.8962
PORT-1002,KO,The Coca-Cola Company,54,Consumer Defensive,71.8256
PORT-1002,XOM,Exxon Mobil Corporation,116,Energy,141.984
PORT-1002,UNH,UnitedHealth Group Incorporated,88,Healthcare,322.5684
PORT-1002,JPM,JPMorgan Chase & Co.,80,Financial Services,317.2368
PORT-1002,JPM,JPMorgan Chase & Co.,150,Financial Services,260.3736
PORT-1002,TSLA,"Tesla, Inc.",27,Consumer Cyclical,484.396
PORT-1002,WMT,Walmart Inc.,24,Consumer Defensive,93.6466
PORT-1002,CVS,CVS Health Corporation,103,Healthcare,78.2595
PORT-1002,PG,The Procter & Gamble Company,130,Consumer Defensive,129.7912
PORT-1002,JPM,JPMorgan Chase & Co.,57,Financial Services,272.3448
PORT-1002,WMT,Walmart Inc.,148,Consumer Defensive,84.1634
PORT-1002,CVS,CVS Health Corporation,38,Healthcare,81.0216
PORT-1002,MSFT,Microsoft Corporation,118,Technology,301.2491
PORT-1002,GE,General Electric Company,125,Industrials,295.0053
PORT-1002,KO,The Coca-Cola Company,127,Consumer Defensive,82.4362
PORT-1002,INTC,Intel Corporation,145,Technology,113.2461
PORT-1002,AMZN,"Amazon.com, Inc.",134,Consumer Cyclical,241.9465
PORT-1002,AAPL,Apple Inc.,92,Technology,326.3925
PORT-1002,UNH,UnitedHealth Group Incorporated,112,Healthcare,288.0075
PORT-1002,UNH,UnitedHealth Group Incorporated,56,Healthcare,414.7308
PORT-1002,AAPL,Apple Inc.,50,Technology,230.029
PORT-1002,GOOG,Alphabet Inc.,9,Technology,350.1953
PORT-1002,MA,Mastercard Incorporated,42,Financial Services,366.3296
PORT-1002,GE,General Electric Company,5,Industrials,304.5216
PORT-1002,GE,General Electric Company,69,Industrials,291.8332
PORT-1002,TSLA,"Tesla, Inc.",107,Consumer Cyclical,317.0592
PORT-1002,GOOG,Alphabet Inc.,121,Technology,373.2851
PORT-1002,MSFT,Microsoft Corporation,9,Technology,404.4166
PORT-1002,AAPL,Apple Inc.,142,Technology,261.114
PORT-1002,JPM,JPMorgan Chase & Co.,16,Financial Services,311.2512
PORT-1002,INTC,Intel Corporation,33,Technology,86.4567
PORT-1002,UNH,UnitedHealth Group Incorporated,121,Healthcare,360.9694
PORT-1002,QQQ,Invesco QQQ Trust,38,Index Funds / ETFs,554.382
PORT-1002,QQQ,Invesco QQQ Trust,99,Index Funds / ETFs,765.9225
PORT-1002,GE,General Electric Company,33,Industrials,323.5542
PORT-1002,VOO,Vanguard S&P 500 ETF,130,Index Funds / ETFs,579.5664
PORT-1002,INTC,Intel Corporation,10,Technology,98.6337
PORT-1002,WMT,Walmart Inc.,1,Consumer Defensive,96.0174
PORT-1002,WMT,Walmart Inc.,36,Consumer Defensive,116.1692
PORT-1002,JPM,JPMorgan Chase & Co.,103,Financial Services,254.388
PORT-1002,MA,Mastercard Incorporated,47,Financial Services,391.0816
PORT-1002,WMT,Walmart Inc.,127,Consumer Defensive,117.3546
PORT-1002,QQQ,Invesco QQQ Trust,39,Index Funds / ETFs,590.8545
PORT-1002,JPM,JPMorgan Chase & Co.,96,Financial Services,329.208
PORT-1002,PLTR,Palantir Technologies Inc.,142,Technology,106.008
PORT-1002,PYPL,"PayPal Holdings, Inc.",78,Financial Services,42.8848
PORT-1002,AAPL,Apple Inc.,12,Technology,289.0905
PORT-1002,BA,The Boeing Company,117,Industrials,159.253
PORT-1002,QQQ,Invesco QQQ Trust,137,Index Funds / ETFs,802.395
PORT-1002,PYPL,"PayPal Holdings, Inc.",141,Financial Services,37.6336
PORT-1002,XOM,Exxon Mobil Corporation,16,Energy,105.009
PORT-1002,NVDA,NVIDIA Corporation,10,Technology,165.828
PORT-1002,WMT,Walmart Inc.,42,Consumer Defensive,97.2028
PORT-1002,GOOG,Alphabet Inc.,24,Technology,319.4089
PORT-1002,JPM,JPMorgan Chase & Co.,22,Financial Services,221.4672
PORT-1002,AMZN,"Amazon.com, Inc.",61,Consumer Cyclical,239.228
PORT-1002,AAPL,Apple Inc.,89,Technology,326.3925
PORT-1002,GOOG,Alphabet Inc.,91,Technology,411.7681
PORT-1002,AMZN,"Amazon.com, Inc.",136,Consumer Cyclical,263.6945
PORT-1002,PYPL,"PayPal Holdings, Inc.",125,Financial Services,31.5072
PORT-1002,SOFI,"SoFi Technologies, Inc.",88,Financial Services,14.7147
PORT-1002,KO,The Coca-Cola Company,71,Consumer Defensive,64.4798
PORT-1002,NVDA,NVIDIA Corporation,70,Technology,197.718
PORT-1002,TSLA,"Tesla, Inc.",56,Consumer Cyclical,479.9924
PORT-1002,TSLA,"Tesla, Inc.",148,Consumer Cyclical,484.396
PORT-1002,SOFI,"SoFi Technologies, Inc.",102,Financial Services,14.7147
PORT-1002,INTC,Intel Corporation,77,Technology,130.2939
PORT-1002,AAPL,Apple Inc.,73,Technology,320.1755
PORT-1002,INTC,Intel Corporation,63,Technology,99.8514
PORT-1002,PG,The Procter & Gamble Company,83,Consumer Defensive,125.3665
PORT-1002,GE,General Electric Company,43,Industrials,241.0796
PORT-1002,GE,General Electric Company,43,Industrials,241.0796
PORT-1002,NVDA,NVIDIA Corporation,55,Technology,221.104
PORT-1002,UNH,UnitedHealth Group Incorporated,7,Healthcare,280.3273
PORT-1002,BA,The Boeing Company,76,Industrials,224.3
PORT-1002,GOOG,Alphabet Inc.,124,Technology,380.9817
PORT-1002,PG,The Procter & Gamble Company,120,Consumer Defensive,115.0422
PORT-1002,PYPL,"PayPal Holdings, Inc.",143,Financial Services,43.76
PORT-1002,INTC,Intel Corporation,130,Technology,125.4231
PORT-1002,AMZN,"Amazon.com, Inc.",32,Consumer Cyclical,296.3165
PORT-1002,AAPL,Apple Inc.,122,Technology,258.0055
PORT-1002,VOO,Vanguard S&P 500 ETF,82,Index Funds / ETFs,538.1688
PORT-1002,KO,The Coca-Cola Company,66,Consumer Defensive,76.7228
PORT-1002,GE,General Electric Company,56,Industrials,231.5633
PORT-1002,CVS,CVS Health Corporation,119,Healthcare,71.8146
PORT-1002,PLTR,Palantir Technologies Inc.,3,Technology,109.9833
PORT-1002,NVDA,NVIDIA Corporation,108,Technology,165.828
PORT-1002,JPM,JPMorgan Chase & Co.,108,Financial Services,293.2944
PORT-1002,INTC,Intel Corporation,41,Technology,88.8921
PORT-1002,JPM,JPMorgan Chase & Co.,23,Financial Services,308.2584
PORT-1002,QQQ,Invesco QQQ Trust,84,Index Funds / ETFs,722.1555
PORT-1002,TSLA,"Tesla, Inc.",82,Consumer Cyclical,435.9564
PORT-1002,JPM,JPMorgan Chase & Co.,90,Financial Services,254.388
PORT-1002,MA,Mastercard Incorporated,80,Financial Services,376.2304
PORT-1002,BA,The Boeing Company,135,Industrials,213.085
PORT-1002,NVDA,NVIDIA Corporation,43,Technology,197.718
PORT-1002,TSLA,"Tesla, Inc.",119,Consumer Cyclical,312.6556
PORT-1002,KO,The Coca-Cola Company,32,Consumer Defensive,67.7446
PORT-1002,MA,Mastercard Incorporated,86,Financial Services,470.288
PORT-1002,ABBV,AbbVie Inc.,65,Healthcare,204.63
PORT-1002,CVS,CVS Health Corporation,72,Healthcare,81.9423
PORT-1002,PYPL,"PayPal Holdings, Inc.",110,Financial Services,42.0096
PORT-1002,VOO,Vanguard S&P 500 ETF,25,Index Funds / ETFs,724.458
PORT-1002,GOOG,Alphabet Inc.,119,Technology,280.9259
PORT-1002,KO,The Coca-Cola Company,57,Consumer Defensive,69.377
PORT-1002,VOO,Vanguard S&P 500 ETF,112,Index Funds / ETFs,531.2692
PORT-1002,PLTR,Palantir Technologies Inc.,42,Technology,119.259
PORT-1002,NVDA,NVIDIA Corporation,23,Technology,204.096
PORT-1002,PLTR,Palantir Technologies Inc.,136,Technology,95.4072
PORT-1002,PYPL,"PayPal Holdings, Inc.",117,Financial Services,44.6352
PORT-1002,PYPL,"PayPal Holdings, Inc.",149,Financial Services,38.9464
PORT-1002,BA,The Boeing Company,111,Industrials,157.01
PORT-1003,XOM,Exxon Mobil Corporation,24,Energy,130.152
PORT-1003,BA,The Boeing Company,63,Industrials,219.814
PORT-1003,ABBV,AbbVie Inc.,123,Healthcare,215.4
PORT-1003,AAPL,Apple Inc.,87,Technology,273.548
PORT-1003,CVS,CVS Health Corporation,77,Healthcare,91.1493
PORT-1003,AMZN,"Amazon.com, Inc.",86,Consumer Cyclical,193.0135
PORT-1003,TSLA,"Tesla, Inc.",104,Consumer Cyclical,435.9564
PORT-1003,PLTR,Palantir Technologies Inc.,148,Technology,96.7323
PORT-1003,INTC,Intel Corporation,123,Technology,99.8514
PORT-1003,TSLA,"Tesla, Inc.",14,Consumer Cyclical,413.9384
PORT-1003,AAPL,Apple Inc.,66,Technology,310.85
PORT-1003,PLTR,Palantir Technologies Inc.,19,Technology,141.7857
PORT-1003,MA,Mastercard Incorporated,64,Financial Services,544.544
PORT-1003,KO,The Coca-Cola Company,58,Consumer Defensive,59.5826
PORT-1003,XOM,Exxon Mobil Corporation,95,Energy,122.757
PORT-1003,WMT,Walmart Inc.,113,Consumer Defensive,110.2422
PORT-1003,XOM,Exxon Mobil Corporation,28,Energy,149.379
PORT-1003,GE,General Electric Company,143,Industrials,244.2517
PORT-1003,MSFT,Microsoft Corporation,80,Technology,342.5161
PORT-1003,NVDA,NVIDIA Corporation,33,Technology,221.104
PORT-1003,NVDA,NVIDIA Corporation,71,Technology,221.104
PORT-1003,WMT,Walmart Inc.,127,Consumer Defensive,112.613
PORT-1003,XOM,Exxon Mobil Corporation,95,Energy,152.337
PORT-1003,CVS,CVS Health Corporation,128,Healthcare,78.2595
PORT-1003,CVS,CVS Health Corporation,143,Healthcare,88.3872
PORT-1003,GOOG,Alphabet Inc.,70,Technology,388.6783
PORT-1003,BA,The Boeing Company,134,Industrials,226.543
PORT-1003,XOM,Exxon Mobil Corporation,124,Energy,144.942
PORT-1003,AAPL,Apple Inc.,145,Technology,295.3075
PORT-1003,VOO,Vanguard S&P 500 ETF,87,Index Funds / ETFs,731.3576
PORT-1003,BA,The Boeing Company,12,Industrials,219.814
PORT-1003,KO,The Coca-Cola Company,129,Consumer Defensive,62.8474
PORT-1003,GOOG,Alphabet Inc.,56,Technology,273.2293
PORT-1003,WMT,Walmart Inc.,142,Consumer Defensive,126.8378
PORT-1003,PG,The Procter & Gamble Company,103,Consumer Defensive,131.2661
PORT-1003,JPM,JPMorgan Chase & Co.,142,Financial Services,284.316
PORT-1003,QQQ,Invesco QQQ Trust,148,Index Funds / ETFs,590.8545
PORT-1003,NVDA,NVIDIA Corporation,18,Technology,201.97
PORT-1003,VOO,Vanguard S&P 500 ETF,121,Index Funds / ETFs,586.466
PORT-1003,PYPL,"PayPal Holdings, Inc.",32,Financial Services,46.3856
PORT-1003,MA,Mastercard Incorporated,137,Financial Services,485.1392
PORT-1003,GE,General Electric Company,82,Industrials,272.8006
PORT-1003,VOO,Vanguard S&P 500 ETF,122,Index Funds / ETFs,524.3696
PORT-1003,NVDA,NVIDIA Corporation,120,Technology,148.82
PORT-1003,WMT,Walmart Inc.,53,Consumer Defensive,123.2816
PORT-1003,GOOG,Alphabet Inc.,149,Technology,380.9817
PORT-1003,JPM,JPMorgan Chase & Co.,145,Financial Services,245.4096
PORT-1003,TSLA,"Tesla, Inc.",62,Consumer Cyclical,409.5348
PORT-1003,MSFT,Microsoft Corporation,134,Technology,396.1632
PORT-1003,XOM,Exxon Mobil Corporation,132,Energy,144.942
PORT-1003,INTC,Intel Corporation,119,Technology,105.9399
PORT-1003,TSLA,"Tesla, Inc.",38,Consumer Cyclical,391.9204
PORT-1003,AMZN,"Amazon.com, Inc.",106,Consumer Cyclical,258.2575
PORT-1003,KO,The Coca-Cola Company,78,Consumer Defensive,77.539
PORT-1003,KO,The Coca-Cola Company,17,Consumer Defensive,64.4798
PORT-1003,GE,General Electric Company,129,Industrials,253.768
PORT-1003,PYPL,"PayPal Holdings, Inc.",119,Financial Services,47.2608
PORT-1003,PG,The Procter & Gamble Company,3,Consumer Defensive,154.8645
PORT-1003,SOFI,"SoFi Technologies, Inc.",12,Financial Services,14.7147
PORT-1003,ABBV,AbbVie Inc.,135,Healthcare,213.246
PORT-1003,TSLA,"Tesla, Inc.",97,Consumer Cyclical,471.1852
PORT-1003,GOOG,Alphabet Inc.,18,Technology,334.8021
PORT-1003,MSFT,Microsoft Corporation,82,Technology,379.6564
PORT-1003,QQQ,Invesco QQQ Trust,141,Index Funds / ETFs,700.272
PORT-1003,CVS,CVS Health Corporation,71,Healthcare,69.9732
PORT-1003,PG,The Procter & Gamble Company,46,Consumer Defensive,119.4669
PORT-1003,PG,The Procter & Gamble Company,26,Consumer Defensive,151.9147
PORT-1003,PG,The Procter & Gamble Company,33,Consumer Defensive,159.2892
PORT-1003,GOOG,Alphabet Inc.,76,Technology,330.9538
PORT-1003,MSFT,Microsoft Corporation,45,Technology,292.9957
PORT-1003,KO,The Coca-Cola Company,150,Consumer Defensive,66.9284
PORT-1003,MA,Mastercard Incorporated,145,Financial Services,430.6848
PORT-1003,CVS,CVS Health Corporation,57,Healthcare,83.7837
PORT-1003,SOFI,"SoFi Technologies, Inc.",7,Financial Services,14.0679
PORT-1003,MA,Mastercard Incorporated,120,Financial Services,485.1392
PORT-1003,ABBV,AbbVie Inc.,47,Healthcare,215.4
PORT-1003,CVS,CVS Health Corporation,56,Healthcare,78.2595
PORT-1003,MSFT,Microsoft Corporation,36,Technology,445.6836
PORT-1003,BA,The Boeing Company,150,Industrials,217.571
PORT-1003,VOO,Vanguard S&P 500 ETF,76,Index Funds / ETFs,662.3616
PORT-1003,UNH,UnitedHealth Group Incorporated,118,Healthcare,326.4085
PORT-1003,PLTR,Palantir Technologies Inc.,25,Technology,103.3578
PORT-1003,PYPL,"PayPal Holdings, Inc.",143,Financial Services,37.6336
PORT-1003,PYPL,"PayPal Holdings, Inc.",20,Financial Services,36.3208
PORT-1003,TSLA,"Tesla, Inc.",91,Consumer Cyclical,334.6736
PORT-1003,VOO,Vanguard S&P 500 ETF,85,Index Funds / ETFs,600.2652
PORT-1003,PG,The Procter & Gamble Company,102,Consumer Defensive,162.239
PORT-1003,CVS,CVS Health Corporation,13,Healthcare,87.4665
PORT-1003,PYPL,"PayPal Holdings, Inc.",44,Financial Services,38.0712
PORT-1003,KO,The Coca-Cola Company,98,Consumer Defensive,81.62
PORT-1003,ABBV,AbbVie Inc.,20,Healthcare,150.78
PORT-1003,UNH,UnitedHealth Group Incorporated,12,Healthcare,280.3273
PORT-1003,PYPL,"PayPal Holdings, Inc.",141,Financial Services,30.632
PORT-1003,MSFT,Microsoft Corporation,113,Technology,350.7695
PORT-1003,AAPL,Apple Inc.,88,Technology,276.6565
PORT-1003,GE,General Electric Company,100,Industrials,247.4238
PORT-1003,PG,The Procter & Gamble Company,57,Consumer Defensive,109.1426
PORT-1003,VOO,Vanguard S&P 500 ETF,89,Index Funds / ETFs,517.47
PORT-1003,UNH,UnitedHealth Group Incorporated,77,Healthcare,314.8882
PORT-1003,AMZN,"Amazon.com, Inc.",125,Consumer Cyclical,212.043
PORT-1003,SOFI,"SoFi Technologies, Inc.",131,Financial Services,16.9785
PORT-1003,BA,The Boeing Company,33,Industrials,237.758
PORT-1003,AMZN,"Amazon.com, Inc.",64,Consumer Cyclical,252.8205
PORT-1003,XOM,Exxon Mobil Corporation,75,Energy,112.404
PORT-1003,AMZN,"Amazon.com, Inc.",81,Consumer Cyclical,190.295
PORT-1003,VOO,Vanguard S&P 500 ETF,117,Index Funds / ETFs,724.458
PORT-1003,AAPL,Apple Inc.,71,Technology,254.897
PORT-1003,UNH,UnitedHealth Group Incorporated,79,Healthcare,303.3679
PORT-1003,SOFI,"SoFi Technologies, Inc.",122,Financial Services,15.1998
PORT-1003,PYPL,"PayPal Holdings, Inc.",107,Financial Services,35.4456
PORT-1003,ABBV,AbbVie Inc.,2,Healthcare,150.78
PORT-1003,XOM,Exxon Mobil Corporation,24,Energy,122.757
PORT-1003,PG,The Procter & Gamble Company,137,Consumer Defensive,160.7641
PORT-1003,SOFI,"SoFi Technologies, Inc.",45,Financial Services,16.9785
PORT-1003,KO,The Coca-Cola Company,38,Consumer Defensive,87.3334
PORT-1003,INTC,Intel Corporation,127,Technology,129.0762
PORT-1003,GOOG,Alphabet Inc.,41,Technology,342.4987
PORT-1003,VOO,Vanguard S&P 500 ETF,77,Index Funds / ETFs,586.466
PORT-1003,PLTR,Palantir Technologies Inc.,149,Technology,120.5841
PORT-1003,AMZN,"Amazon.com, Inc.",110,Consumer Cyclical,269.1315
PORT-1003,XOM,Exxon Mobil Corporation,106,Energy,133.11
PORT-1003,WMT,Walmart Inc.,78,Consumer Defensive,99.5736
PORT-1003,PLTR,Palantir Technologies Inc.,94,Technology,135.1602
PORT-1003,UNH,UnitedHealth Group Incorporated,2,Healthcare,288.0075
PORT-1003,PYPL,"PayPal Holdings, Inc.",55,Financial Services,31.5072
PORT-1003,UNH,UnitedHealth Group Incorporated,91,Healthcare,295.6877
PORT-1003,GOOG,Alphabet Inc.,39,Technology,365.5885
PORT-1003,PLTR,Palantir Technologies Inc.,6,Technology,117.9339
PORT-1003,ABBV,AbbVie Inc.,63,Healthcare,219.708
PORT-1003,MA,Mastercard Incorporated,113,Financial Services,346.528
PORT-1003,PYPL,"PayPal Holdings, Inc.",71,Financial Services,36.7584
PORT-1003,MA,Mastercard Incorporated,33,Financial Services,470.288
PORT-1003,TSLA,"Tesla, Inc.",126,Consumer Cyclical,457.9744
PORT-1003,NVDA,NVIDIA Corporation,134,Technology,153.072
PORT-1003,MA,Mastercard Incorporated,100,Financial Services,495.04
PORT-1003,SOFI,"SoFi Technologies, Inc.",22,Financial Services,15.3615
PORT-1003,KO,The Coca-Cola Company,131,Consumer Defensive,87.3334
